type,title,country,release_year,duration,listed_in,description,id,popularity,vote_count,vote_average
Movie,Clive Davis: The Soundtrack of Our Lives,United States,2017,124 min,"Documentaries, Music & Musicals",This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.,tt6494358,5.892,7,6.4
Movie,Sebastian Maniscalco: What's Wrong with People?,United States,2012,76 min,Stand-Up Comedy,"With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special.",tt2215489,4.897,15,8.0
Movie,I Am Wrath,United States,2016,91 min,"Action & Adventure, Dramas","Hell-bent on avenging his wife's murder, Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians.",tt3212232,15.622,382,5.1
Movie,"As Above, So Below",United States,2014,93 min,"Horror Movies, Thrillers",A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.,tt2870612,41.538,1997,6.6
Movie,Cedric the Entertainer: Live from the Ville,United States,2016,60 min,Stand-Up Comedy,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""",tt5753806,2.964,12,5.8
Movie,Louis C.K.: Hilarious,United States,2010,84 min,Movies,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.",tt1421373,10.284,167,8.0
Movie,Raiders!: The Story of the Greatest Fan Film Ever Made,United States,2015,93 min,Documentaries,"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot.",tt3551954,6.317,40,7.0
Movie,Los Tigres del Norte at Folsom Prison,United States,2019,64 min,"Documentaries, International Movies, Music & Musicals",The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.,tt10857582,8.734,4,5.8
Movie,Steal a Pencil for Me,United States,2006,94 min,Documentaries,This moving documentary chronicles the unshakeable romance between a couple who met and fell in love while imprisoned in a Nazi concentration camp.,tt1045889,2.089,5,7.2
Movie,The Outsider,United States,2019,86 min,Movies,A frontier sheriff tries to protect his sadistic son from a Chinese railroad worker hellbent on revenge.,tt8550800,NaN,NaN,NaN
Movie,Natural Born Pranksters,United States,2016,91 min,Comedies,"The biggest pranksters on YouTube – VitalyzdTV, Dennis Roady and Roman Atwood – turn Hollywood into ""Prankwood"" with their most over-the-top stunts.",tt3671086,5.225,36,4.7
Movie,Sample This,United States,2012,83 min,"Documentaries, Music & Musicals","This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it.",tt2407418,3.911,16,6.7
Movie,Cowspiracy: The Sustainability Secret,United States,2014,90 min,Documentaries,Learn how factory farming is decimating the planet's natural resources – and why this crisis has been largely ignored by major environmental groups.,tt3302820,11.106,303,7.9
Movie,The Crystal Calls Making the Dark Crystal: Age of Resistance,United States,2019,83 min,"Documentaries, International Movies","Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life in a sweeping fantasy series.",tt10924716,14.945,16,7.4
Movie,We Have Always Lived in the Castle,United States,2018,95 min,"Dramas, Thrillers",The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.,tt5952138,13.473,129,5.2
Movie,The Land of Steady Habits,United States,2018,98 min,"Comedies, Dramas, Independent Movies","After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.",tt6485928,9.971,97,5.3
Movie,American Warfighter,United States,2019,106 min,Dramas,"A Navy SEAL haunted by wartime memories tries to rebuild his life at home, even as one last mission threatens to unravel everything.",tt4524418,7.397,5,6.2
Movie,Deviant Love,United States,2019,87 min,Thrillers,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives.",tt10255320,4.293,4,4.6
